publication_year,firstauthor,title,reference,reference_number,author,year,link_or_doi
2007,Abbott,Chordata,"Abbott, Donald P.; Lambert, Charles C.; Gretchen, Lambert; Newberry, A. Todd; Madin, Laurence P.. 2007. Chordata. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 949-964",NA,NA,NA,NA
1981,DeMartini,"Cleaning and scale-eating in juveniles of the kyphosid fishes, hermosilla azurea and girella nigricans","DeMartini, E. E.; Coyer, James A.. 1981. Cleaning and scale-eating in juveniles of the kyphosid fishes, hermosilla azurea and girella nigricans. Copeia. 1981. 4. 785-789. 10.2307/1444178",139,E. E. DEMARTINI AND JAMES A. COYER,1981,NA
NA,NA,"Climate drivers and animal host use determine kelp performance over decadal scales in the kelp pleurophycus gardneri (laminariales, phaeophyceae)","Pfister, C. A., & Betcher, S. P. (2018). Climate drivers and animal host use determine kelp performance over decadal scales in the kelp Pleurophycus gardneri (Laminariales, Phaeophyceae). Journal of Phycology, 54(1), 1–11. https://doi.org/10.1111/jpy.12601",259,"Catherine A. Pfister, Samuel P. Betcher",2017,NA
2011,Byrnes,Climate-driven increases in storm frequency simplify kelp forest food webs,"Byrnes, Jarrett E.; Reed, Daniel C.; Cardinale, Bradley J.; Cavanaugh, Kyle C.; Holbrook, Sally J.; Schmitt, Russell J.. 2011. Climate-driven increases in storm frequency simplify kelp forest food webs. Global Change Biology. 17. 8. 2513-2524. 10.1111/j.1365-2486.2011.02409.x",NA,NA,NA,NA
2007,Mills,Cnidaria,"Mills, Claudia E.; Maeques, Antonio C.; Migotto, Alvaro E.; Calder, Dale R.; Hand, Cadet; Rees, John T.; Haddock, Steven H. D.; Dunn, Casey W.; Pugh, Philip R.; Larson, Roland J.; Fautin, Daphne G.; Williams, Gary C.. 2007. Cnidaria. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 118-188",NA,NA,NA,NA
1982,Hines,"Coexistence in a kelp forest: size, population dynamics, and resource partitioning in a guild of spider crabs (brachyura, majidae)","Hines, Anson H.. 1982. Coexistence in a kelp forest: size, population dynamics, and resource partitioning in a guild of spider crabs (brachyura, majidae). Ecological Monographs. 52. 2. 179-198. 10.2307/1942610",302,Hines,1982,NA
2006,Visintainer,Community composition and diet of fishes as a function of tidal channel geomorphology,"Visintainer, Ta; Bollens, Sm; Simenstad, C. 2006. Community composition and diet of fishes as a function of tidal channel geomorphology. Marine Ecology Progress Series. 321. 227-243. 10.3354/meps321227",144,"Tammie A. Visintainer1, 4,*, Stephen M. Bollens2, Charles Simenstad10",2006,NA
2009,Beeler,Community succession in macroalgal wrack: implications for prey resources of breeding western snowy plovers (charadrius alexandrinus nivosus) on northern california beaches.,"Beeler, Heather E. 2009. Community succession in macroalgal wrack: implications for prey resources of breeding western snowy plovers (charadrius alexandrinus nivosus) on northern california beaches.. Humboldt State University",348,Beeler,2009,NA
2002,Nelson,"Comparison of growth and lipid composition in the green abalone, haliotis fulgens, provided specific macroalgal diets","Nelson, Matthew M.; Leighton, David L.; Phleger, Charles F.; Nichols, Peter D.. 2002. Comparison of growth and lipid composition in the green abalone, haliotis fulgens, provided specific macroalgal diets. Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology. 131. 4. 695-712. 10.1016/S1096-4959(02)00042-8",216,Nelson et al,2002,12/20/2023 12:14PM
NA,NA,Competition and mechanism of coexistence in three sympatric of intertidal hermit crabs,"Vance, R. R. (1972). Competition and Mechanism of Coexistence in Three Sympatric of Intertidal Hermit Crabs. Ecology, 53(6), 1062–1074. https://doi.org/10.2307/1935418",352,Vance,1972,NA
1972,Menge,Competition for food between two intertidal starfish species and its effect on body size and feeding,"Menge, Bruce A.. 1972. Competition for food between two intertidal starfish species and its effect on body size and feeding. Ecology. 53. 4. 635-644. 10.2307/1934777",457,Menge,1972,NA
2020,Patarra,Concise review of the species pterocladiella capillacea (s.g. Gmelin) santelices & hommersand,"Patarra, R. F.; Iha, C.; Pereira, L.; Neto, A. I.. 2020. Concise review of the species pterocladiella capillacea (s.g. Gmelin) santelices & hommersand. Journal of Applied Phycology. 32. 2. 787-808. 10.1007/s10811-019-02009-y",NA,NA,NA,NA
NA,NA,Consistent foraging on marine resources by coyotes (canis latrans) on the southern california coast,"Zilz, Z. L., Copeland, S., & Young, H. S. (2023). Consistent foraging on marine resources by coyotes (Canis latrans) on the Southern California coast. Food Webs, 37, e00311. https://doi.org/10.1016/j.fooweb.2023.e00311",374,Zilz,2023,NA
1960,Illg,Marine copepods of the genus anthessius from the northeastern pacific ocean,"Illg, Paul L.. 1960. Marine copepods of the genus anthessius from the northeastern pacific ocean. Pacific Science. 14. 36",134,Illg,1960,NA
1998,Johnsen,Damage due to solar ultraviolet radiation in the brittlestar ophioderma brevispinum (echinodermata: ophiuroidea),"Johnsen, Sönke; Kier, William M.. 1998. Damage due to solar ultraviolet radiation in the brittlestar ophioderma brevispinum (echinodermata: ophiuroidea). Journal of the Marine Biological Association of the United Kingdom. 78. 2. 681-684. 10.1017/S0025315400041758",59,S√∂nke Johnsen  and William M. Kier,2009,NA
1976,Ebeling,"Day versus night activity of reef fishes in a kelp forest off santa barbara, california","Ebeling, Alfred W; Bray, Richard N. 1976. Day versus night activity of reef fishes in a kelp forest off santa barbara, california. FISHERY BULLETIN. 74",138,"ALFRED W. EBELING, RICHARD N. BRAY",1976,NA
2011,Wicksten,Decapod crustacea of the californian and oregonian zoogeographic provinces,"Wicksten, Mary K.. 2011. Decapod crustacea of the californian and oregonian zoogeographic provinces",373,Wicksten,2011,NA
2007,Campos,Decapoda,"Campos, Ernesto; Carlton, James T.; Kuris, Armand M.; Sadeghian, Patricia S.. 2007. Decapoda. The Light and Smith Manual: Intertidal invertebrates from central California to Oregon. University of California Press. 632‚Äì656",NA,NA,NA,NA
1986,Bingham,Defense adaptations of the dendrochirote holothurian psolus chitonoides clark,"Bingham, Brian L.; Braithwaite, Lee F.. 1986. Defense adaptations of the dendrochirote holothurian psolus chitonoides clark. Journal of Experimental Marine Biology and Ecology. 98. 3. 311-322. 10.1016/0022-0981(86)90220-0",16,"
BRIAN L. BINGHAM and LEE F. BRAITHWAITE",1986,NA
1976,Nance,"Defense mechanism and feeding behavior of pteraster tesselatus ives (echinodermata, asteroidea)","Nance, James. 1976. Defense mechanism and feeding behavior of pteraster tesselatus ives (echinodermata, asteroidea). Theses and Dissertations",40,James Milton Nance,1976,NA
1992,Cailliet,Demography of the central california population of the leopard shark (triakis semifasciata),"Cailliet, G. M.. 1992. Demography of the central california population of the leopard shark (triakis semifasciata). Marine and Freshwater Research. 43. 1. 183-193. 10.1071/mf9920183",114,Gregor M Cailliet,1992,NA
1978,Hartwick,"Den associates of the giant pacific octopus, octopus dofleini (wulker)","Hartwick, E.B.; Thorarinsson, G.. 1978. Den associates of the giant pacific octopus, octopus dofleini (wulker). Ophelia. 17. 1. 163‚Äì166. 10.1080/00785326.1978.10425480",191,E.B. Hartwick  & G. Thorarinsson,2012,NA
1984,Newberry,"Dendrodoa (styelopsis) abbottii sp. nov. (Styelidae, ascidiacea) from teh pacific coast of the univted states, and its impact on some gonadal criteria of its genus and subgenus","Newberry, A. Todd. 1984. Dendrodoa (styelopsis) abbottii sp. nov. (Styelidae, ascidiacea) from teh pacific coast of the univted states, and its impact on some gonadal criteria of its genus and subgenus. Proceedings of the California Academy of Sciences. 43. 15. 239-248",NA,NA,NA,NA
2023,Mills,"Description of a common stauromedusa on the pacific coast of the united states and canada, haliclystus sanjuanensis new species (cnidaria: staurozoa)","Mills, Claudia E.; Westlake, Hannah; Hirano, Yayoi M.; Miranda, Lucília S.. 2023. Description of a common stauromedusa on the pacific coast of the united states and canada, haliclystus sanjuanensis new species (cnidaria: staurozoa). PeerJ. 11. e15944. 10.7717/peerj.15944",NA,NA,NA,NA
1977,Kuris,"Description of a new species, crangon handi , and new genus, lissocrangon , of crangonid shrimps (crustacea: caridea) from the california coast, with notes on adaptation in body shape and coloration","Kuris, Armand M.; Carlton, James T.. 1977. Description of a new species, crangon handi , and new genus, lissocrangon , of crangonid shrimps (crustacea: caridea) from the california coast, with notes on adaptation in body shape and coloration. The Biological Bulletin. 153. 3. 540-559. 10.2307/1540605",251,Kuris and Carlton,1977,NA
NA,NA,"Description of a new western atlantic species of argeia dana with a proposed new subfamily for this and related genera (crustacea isopoda, bopyridae)","Markham, J. C. (1977). Description of a new western Atlantic species of Argeia Dana with a proposed new subfamily for this and related genera (Crustacea Isopoda, Bopyridae). Zoologische Mededelingen, 52(9), 107–123.",265,"Markham, J. C.",1977,NA
1990,Lesser,"Description of a novel symbiotic bacterium from the brittle star, amphipholis squamata","Lesser, Michael P.; Blakemore, Richard P.. 1990. Description of a novel symbiotic bacterium from the brittle star, amphipholis squamata. Applied and Environmental Microbiology. 56. 8. 2436-2440. 10.1128/aem.56.8.2436-2440.1990",62,Michael P. Lesser and Richard P. Blakemore,2021,NA
2022,Cai,"Descriptions of the developmental stages of cafius nauticus (fairmaire) (coleoptera: staphylinidae: staphylininae), with comments on its biology","Cai, Yu-Jie; Tang, Liang. 2022. Descriptions of the developmental stages of cafius nauticus (fairmaire) (coleoptera: staphylinidae: staphylininae), with comments on its biology. Zootaxa. 5182. 5. 429-447. 10.11646/zootaxa.5182.5.2",263,YU-JIE CAI & LIANG TANG,2022,NA
1999,Anderson,"Determination of the diet of octopus rubescens berry, 1953 (cephalopoda: octpododae), through examination of its beer bottle dens in puget sound.","Anderson, Roland C.. 1999. Determination of the diet of octopus rubescens berry, 1953 (cephalopoda: octpododae), through examination of its beer bottle dens in puget sound.. Malacologia. 41. 2. 455-460",323,Anderson et al,1999,NA
1972,Chia,"Development and juvenile growth of the sea anemone, tealia crassicornis","Chia, Fu-Shiang; Spaulding, James G.. 1972. Development and juvenile growth of the sea anemone, tealia crassicornis. The Biological Bulletin. 142. 2. 206-218. 10.2307/1540225",44,FU-SHIANG CHIA AND JAMES G. SPAULDING 1,1972,NA
2007,Collin,"Development of tylodina fungina gabb, 1865 (gastropoda: notaspidea) from the pacific coast of panama","Collin, Rachel. 2007. Development of tylodina fungina gabb, 1865 (gastropoda: notaspidea) from the pacific coast of panama. 50. 1",130,RACHEL COLLIN,2008,NA
2007,Shulman,Dicyemida (rhombozoa),"Shulman, Danna Joy; Hochberg, F. G.. 2007. Dicyemida (rhombozoa). The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 200-202",NA,NA,NA,NA
2012,Lie,"Diel vertical migration and feeding of three species of chaetognaths (flaccisagitta enflata, aidanosagitta delicata and aidanosagitta neglecta) in two shallow, subtropical bays in hong kong","Lie, Alle A. Y.; Tse, Pan; Wong, Chong Kim. 2012. Diel vertical migration and feeding of three species of chaetognaths (flaccisagitta enflata, aidanosagitta delicata and aidanosagitta neglecta) in two shallow, subtropical bays in hong kong. Journal of Plankton Research. 34. 8. 670-684. 10.1093/plankt/fbs041",225,Lie et al,2012,12/20/2023 12:14PM
2010,Plyuscheva,"Diet analyses of the scale-worms lepidonotus squamatus and harmothoe imbricata (polychaeta, polynoidae) in the white sea","Plyuscheva, Maria; Martin, Daniel; Britayev, Temir. 2010. Diet analyses of the scale-worms lepidonotus squamatus and harmothoe imbricata (polychaeta, polynoidae) in the white sea. Marine Biology Research. 6. 3. 271-281. 10.1080/17451000903334694",372,NA,NA,NA
2015,Cogliati,Diet and cannibalism in plainfin midshipman porichthys notatus,"Cogliati, K. M.; Danukarjanto, C.; Pereira, A. C.; Lau, M. J.; Hassan, A.; Mistakidis, A. F.; Bolker, B. M.; Neff, B. D.; Balshine, S.. 2015. Diet and cannibalism in plainfin midshipman porichthys notatus. Journal of Fish Biology. 86. 4. 1396-1415. 10.1111/jfb.12649",363,Cogliati et al,2015,NA
2004,Malaquias,Diet and feeding biology of haminoea orbygniana (mollusca: gastropoda: cephalaspidea),"Malaquias, Manuel António E.; Condinho, Silvia; Cervera, Juan L.; Sprung, Martin. 2004. Diet and feeding biology of haminoea orbygniana (mollusca: gastropoda: cephalaspidea). Journal of the Marine Biological Association of the United Kingdom. 84. 4. 767-772. 10.1017/S0025315404009890h",333,Malaquias,2004,NA
1963,Leighton,"Diet and growth in the black abalone, haliotis cracherodii","Leighton, David; Boolootian, Richard A.. 1963. Diet and growth in the black abalone, haliotis cracherodii . Ecology. 44. 2. 228-238. 10.2307/1932170",215,DAVID LEIGHTON AND RICHARD A. BOOLOOTIAN,1963,12/20/2023 12:14PM
2017,Bizzarro,Diet composition and trophic ecology of northeast pacific ocean sharks,"Bizzarro, Joseph J.; Carlisle, Aaron B.; Smith, Wade D.; Cortés, Enric. 2017. Diet composition and trophic ecology of northeast pacific ocean sharks. Advances in Marine Biology. Academic Press. 77. 111-148",NA,NA,NA,NA
2014,Villegas,"Diet of octopus bimaculatus verril, 1883 (cephalopoda: octopodidae) in bahía de los ángeles, gulf of california","Villegas, Elisa Jeanneht Armendáriz; Ceballos-Vázquez, Bertha Patricia; Markaida, Unai; Abitia-Cárdenas, Andrés; Medina-López, Marco Antonio; Arellano-Martínez, Marcial. 2014. Diet of octopus bimaculatus verril, 1883 (cephalopoda: octopodidae) in bahía de los ángeles, gulf of california. Journal of Shellfish Research. 33. 1. 305-314. 10.2983/035.033.0129",164,"
Elisa Jeanneht Armend√°riz Villegas, Bertha Patricia Ceballos-V√°zquez, Unai Markaida, Andr√©s Abitia-C√°rdenas, Marco Antonio Medina-L√≥pez, Marcial Arellano-Mart√≠nez",1883,NA
2004,Zagal,Diet of the stauromedusa haliclystus auricula from southern chile,"Zagal, Carolina J.. 2004. Diet of the stauromedusa haliclystus auricula from southern chile. Journal of the Marine Biological Association of the United Kingdom. 84. 2. 337-340. 10.1017/S0025315404009245h",191,Carolina J. Zagal,2004,NA
2017,Mazariegos-Villarreal,"Diet of the wavy turban snail, megastraea undosa (gastropoda: turbinidae), in subtropical rocky reefs","Mazariegos-Villarreal, Alejandra; Fierro-Ja√∫regui, María De Lourdes; León-Cisneros, Karla; Serviere-Zaragoza, Elisa. 2017. Diet of the wavy turban snail, megastraea undosa (gastropoda: turbinidae), in subtropical rocky reefs. Pacific Science. 71. 4. 523-534. 10.2984/71.4.9",NA,NA,NA,NA
2000,Kao,"Diet, daily ration and gastric evacuation of the leopard shark (triakis semifasciata)","Kao, John S.. 2000. Diet, daily ration and gastric evacuation of the leopard shark (triakis semifasciata). California State University, Hayward",101,Jon S. Kao,2000,NA
1993,Barry,"Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern california","Barry, James P.; Ehret, Michael J.. 1993. Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern california. Environmental Biology of Fishes. 37. 1. 75-95. 10.1007/BF00000715",140,James P. Barry‚Äô & Michael J. Ehret*,1993,NA
2014,Whitcombe,"Dietary and stable isotope analyses reveal the role of kelp pipefish (syngnathus californiensis), a presumed cryptic prey, in the diet of the elegant tern (thalasseus elegans) in southern california waters","Whitcombe, Cassandra D.. 2014. Dietary and stable isotope analyses reveal the role of kelp pipefish (syngnathus californiensis), a presumed cryptic prey, in the diet of the elegant tern (thalasseus elegans) in southern california waters. California State University, Fullerton",152,"Whitcombe, Cassandra D.",2014,NA
1982,Horn,Dietary selectivity in the field and food preferences in the laboratory for two herbivorous fishes (cebidichthys violaceus and xiphister mucosus) from a temperate intertidal zone,"Horn, M. H.; Murray, S. N.; Edwards, T. W.. 1982. Dietary selectivity in the field and food preferences in the laboratory for two herbivorous fishes (cebidichthys violaceus and xiphister mucosus) from a temperate intertidal zone. Marine Biology. 67. 3. 237-246. 10.1007/BF00397664",360,Horn,1982,NA
NA,NA,"Distribution and feeding ecology of the seastars leptasterias polaris and asterias vulgaris in the northern gulf of st lawrence, canada","Gaymer, C. F., Himmelman, J. H., & Johnson, L. E. (2001). Distribution and feeding ecology of the seastars Leptasterias polaris and Asterias vulgaris in the northern Gulf of St Lawrence, Canada. Journal of the Marine Biological Association of the United Kingdom, 81(5), 827–843. https://doi.org/10.1017/S0025315401004660",52,"Carlos F. Gaymer , John H. Himmelman and Ladd. E. Johnson",2001,NA
NA,NA,"Distribution and trophic links of gelatinous zooplankton on dogger bank, north sea","Frost, J. R., Denda, A., Fox, C. J., Jacoby, C. A., Koppelmann, R., Nielsen, M. H., & Youngbluth, M. J. (2012). Distribution and trophic links of gelatinous zooplankton on Dogger Bank, North Sea. Marine Biology, 159(2), 239–253. https://doi.org/10.1007/s00227-011-1803-7",249,Frost et al,2011,https://doi.org/10.1007/s00227-011-1803-7
NA,NA,"Distributional list of the west american marine mollusks from san diego, california","Burch, J. Q., & California, C. C. of S. (1945). Distributional list of the west American marine mollusks from San Diego, California, to the Polar Sea: Vol. no.55-63=pt.2:v.2 Gastropoda (1945-1946) (pp. 1–462). https://doi.org/10.5962/bhl.title.100019",369,Burch,1945,https://www.biodiversitylibrary.org/page/46830186#page/178/mode/1up
1982,Robles,Disturbance and predation in an assemblage of herbivorous diptera and algae on rocky shores,"Robles, Carlos. 1982. Disturbance and predation in an assemblage of herbivorous diptera and algae on rocky shores. Oecologia. 54. 1. 23-31. 10.1007/BF00541103",349,Robles,1982,NA
2007,Pearse,Echinodermata,"Pearse, John S.; Mooi, Rich; Messing, Charles G.; Mah, Christopher; Hendler, Gordon; Lambert, Philip. 2007. Echinodermata. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 913-948",NA,NA,NA,NA
1979,Cooper,"Ecological aspects of tubularia crocea (agassiz, 1862) and its nudibranch predators in elkhorn slough, california.","Cooper, John W. 1979. Ecological aspects of tubularia crocea (agassiz, 1862) and its nudibranch predators in elkhorn slough, california.. California State University, Hayward",182,John W. Cooper,1979,NA
1980,Caine,"Ecology of two littoral species of caprellid amphipods (crustacea) from washington, usa","Caine, E. A.. 1980. Ecology of two littoral species of caprellid amphipods (crustacea) from washington, usa. Marine Biology. 56. 4. 327-335. 10.1007/BF00386871",70,E. A. Caine,1980,NA
2006,Towanda,Ectosymbiotic behavior of cancer gracilis and its trophic relationships with its host phacellophora camtschatica and the parasitoid hyperia medusarum,"Towanda, T; Thuesen, Ev. 2006. Ectosymbiotic behavior of cancer gracilis and its trophic relationships with its host phacellophora camtschatica and the parasitoid hyperia medusarum. Marine Ecology Progress Series. 315. 221-236. 10.3354/meps315221",248,Towanda and Theusen,2006,NA
2004,Drolet,Effect of light and substratum complexity on microhabitat selection and activity of the ophiuroid ophiopholis aculeata,"Drolet, David; Himmelman, John H.; Rochette, Rémy. 2004. Effect of light and substratum complexity on microhabitat selection and activity of the ophiuroid ophiopholis aculeata. Journal of Experimental Marine Biology and Ecology. 313. 1. 139-154. 10.1016/j.jembe.2004.08.004",60,David DroletJohn H. HimmelmanRemy Rochette,2004,NA
2000,Vickery,Effects of food concentration and availability on the incidence of cloning in planktotrophic larvae of the sea star pisaster ochraceus,"Vickery, Ms; McClintock, Jb. 2000. Effects of food concentration and availability on the incidence of cloning in planktotrophic larvae of the sea star pisaster ochraceus. The Biological Bulletin. 199. 3. 298-304. 10.2307/1543186",30,"
MINAKO S. VICKERY* AND JAMES B. MCCLINTOCK",2000,NA
2007,Wyckmans,Effects of food diversity on diatom selection by harpacticoid copepods,"Wyckmans, Marisa; Chepurnov, Victor A.; Vanreusel, Ann; De Troch, Marleen. 2007. Effects of food diversity on diatom selection by harpacticoid copepods. Journal of Experimental Marine Biology and Ecology. 345. 2. 119-128. 10.1016/j.jembe.2007.02.002",321,Wyckmans,2007,NA
1986,Ambrose,Effects of octopus predation on motile invertebrates in a rocky subtidal community,"Ambrose, Rf. 1986. Effects of octopus predation on motile invertebrates in a rocky subtidal community. Marine Ecology Progress Series. 30. 261-273. 10.3354/meps030261",173,Richard F. Ambrose*,1986,NA
1998,Ferry-Graham,Effects of prey size and mobility on prey-capture kinematics in leopard sharks triakis semifasciata,"Ferry-Graham, Lara A.. 1998. Effects of prey size and mobility on prey-capture kinematics in leopard sharks triakis semifasciata. Journal of Experimental Biology. 201. 16. 2433-2444. 10.1242/jeb.201.16.2433",119,LARA A. FERRY-GRAHAM*,1998,NA
2015,Wood,Effects of spatial scale of sampling on food web structure,"Wood, S. A.; Russell, R.; Hanson, D.; Williams, R. J.; Dunne, J. A.. 2015. Effects of spatial scale of sampling on food web structure. Ecology and Evolution. 5. 17. 3769-82. 10.1002/ece3.1640",376,Wood,2015,NA
1999,Shuster,"Effects of temperature and food availability on adult body length in natural and laboratory populations of paracerceis sculpta (holmes), a gulf of california isopod","Shuster, Stephen M; Guthrie, Erin E. 1999. Effects of temperature and food availability on adult body length in natural and laboratory populations of paracerceis sculpta (holmes), a gulf of california isopod. Journal of Experimental Marine Biology and Ecology. 233. 2. 269-284. 10.1016/S0022-0981(98)00133-6",298,Schuster and Guthrie,1999,NA
1993,Martin,"Effects of the exxon valdez oil spill on migrant shorebirds using rocky intertidal habitats of prince william sound, alaska, during spring, 1989. Exxon valdez oil spill state/federal natural resource damage assessment final report","Martin, P. D.. 1993. Effects of the exxon valdez oil spill on migrant shorebirds using rocky intertidal habitats of prince william sound, alaska, during spring, 1989. Exxon valdez oil spill state/federal natural resource damage assessment final report. Fish and Wildlife Service, Anchorage, AK (United States). Migratory Bird Management",397,Martin,1993,NA
1983,Schroeter,Effects of the starfish patiria miniata on the distribution of the sea urchin lytechinus anamesus in a southern californian kelp forest,"Schroeter, Stephen C.; Dixon, John; Kastendiek, Jon. 1983. Effects of the starfish patiria miniata on the distribution of the sea urchin lytechinus anamesus in a southern californian kelp forest. Oecologia. 56. 2. 141-147. 10.1007/BF00379683",21,"Stephen C. Schroeter, John Dixon & Jon Kastendiek",1983,NA
2024,Womacks,"Effects of warming temperatures on the feeding interactions of an omnivorous crab, pugettia producta (crustacea: brachyura: epialtidae)","Womacks, C.H.; Seroy, S.K.; Dobkowski, K.A.. 2024. Effects of warming temperatures on the feeding interactions of an omnivorous crab, pugettia producta (crustacea: brachyura: epialtidae). Pacific Science. 77. 4. 10.2984/77.4.2",326,Womacks,2024,NA
2015,Bueno,Effects of wave exposure on the abundance and composition of amphipod and tanaidacean assemblages inhabiting intertidal coralline algae,"Bueno, M.; Dena-Silva, S.A.; Flores, A.A.V.; Leite, F.P.P.. 2015. Effects of wave exposure on the abundance and composition of amphipod and tanaidacean assemblages inhabiting intertidal coralline algae. Journal of the Marine Biological Association of the United Kingdom. 7-Jan. 10.1017/S002531541500123X",367,Bueno,2016,NA
1982,Frank,"Effects of winter feeding on limpets by black oystercatchers, haematopus bachmani","Frank, Peter W.. 1982. Effects of winter feeding on limpets by black oystercatchers, haematopus bachmani. Ecology. 63. 5. 1352-1362. 10.2307/1938863",394,Frank,1982,NA
2007,Hight,"Elevated body temperatures of adult female leopard sharks, triakis semifasciata, while aggregating in shallow nearshore embayments: evidence for behavioral thermoregulation?","Hight, Barbara V.; Lowe, Christopher G.. 2007. Elevated body temperatures of adult female leopard sharks, triakis semifasciata, while aggregating in shallow nearshore embayments: evidence for behavioral thermoregulation?. Journal of Experimental Marine Biology and Ecology. 352. 1. 114-128. 10.1016/j.jembe.2007.07.021",120,Barbara V.HightChristopher G.Lowe,2007,NA
2008,Sunday,Emerging infectious disease in sea stars: castrating ciliate parasites in patiria miniata,"Sunday, J.; Raeburn, L.; Hart, M. W.. 2008. Emerging infectious disease in sea stars: castrating ciliate parasites in patiria miniata. Diseases of Aquatic Organisms. 81. 2. 173-6. 10.3354/dao01949",24,"J. Sunday*, L. Raeburn, M. W. Hart",2008,NA
2009,Majer,Evidence of an alarm signal in ophiuroidea (echinodermata),"Majer, Alessandra Pereira; Trigo, José Roberto; Duarte, Luiz Francisco Lembo. 2009. Evidence of an alarm signal in ophiuroidea (echinodermata). Marine Biodiversity Records. 2. e102. 10.1017/S1755267209001067",64,"alessandra pereira majer , jose‚Äô roberto trigo and luiz francisco lembo duarte",2009,NA
1985,Byrne,Evisceration behaviour and the seasonal incidence of evisceration in the holothurian eupentacta quinquesemita (selenka),"Byrne, Maria. 1985. Evisceration behaviour and the seasonal incidence of evisceration in the holothurian eupentacta quinquesemita (selenka). Ophelia. 24. 2. 75‚Äì90. 10.1080/00785236.1985.10426621",18,Maria Byrne,1985,NA
2009,Hultgren,Evolution of decoration in majoid crabs: a comparative phylogenetic analysis of the role of body size and alternative defensive strategies.,"Hultgren, K. M.; Stachowicz, J. J.. 2009. Evolution of decoration in majoid crabs: a comparative phylogenetic analysis of the role of body size and alternative defensive strategies.. The American Naturalist. 173. 5. 566-578. 10.1086/597797",329,Hultgren and Stachowicz,2009,NA
2019,Appy,Experimental elucidation of the life cycle of rhinebothrium urobatidium (cestoda: rhinebothriidea) from the round stingray (urobatis halleri: myliobatiformes) to first and second intermediate hosts,"Appy, Ralph G.; Goffredi, Shana K.; Pernet, Bruno; Latino, Carin. 2019. Experimental elucidation of the life cycle of rhinebothrium urobatidium (cestoda: rhinebothriidea) from the round stingray (urobatis halleri: myliobatiformes) to first and second intermediate hosts. Bulletin, Southern California Academy of Sciences. 118. 3. 139. 10.3160/0038-3872-118.3.139",180,Ralph Appy et al,2019,NA
1992,Winter,Experimental evidence for the effects of polyphenolic compounds from dictyoneurum californicum ruprecht (phaeophyta: laminariales) on feeding rate and growth in the red abalone haliotus rufescens swainson,"Winter, Frank C.; Estes, James A.. 1992. Experimental evidence for the effects of polyphenolic compounds from dictyoneurum californicum ruprecht (phaeophyta: laminariales) on feeding rate and growth in the red abalone haliotus rufescens swainson. Journal of Experimental Marine Biology and Ecology. 155. 2. 263-277. 10.1016/0022-0981(92)90067-K",217,NA,NA,12/20/2023 12:14PM
2000,Deheyn,Expression of bioluminescence in amphipholis squamata (ophiuroidea: echinodermata) in presence of various organisms: a laboratory study,"Deheyn, D.; Mallefet, J.; Jangoux, M.. 2000. Expression of bioluminescence in amphipholis squamata (ophiuroidea: echinodermata) in presence of various organisms: a laboratory study. Journal of the Marine Biological Association of the United Kingdom. 80. 1. 179-180. 10.1017/S0025315499001733",63,"D. Deheyn*6, J. Mallefety and M. Jangoux*¬Ä",2000,NA
1985,Thompson,Exudation of biologically-active metabolites in the sponge aplysina fistularis,"Thompson, J E. 1985. Exudation of biologically-active metabolites in the sponge aplysina fistularis. Chemical Evidence",132,J. E. Thompson,1985,NA
1981,Kent,Feeding and food preferences of the muricid gastropod ceratostoma foliatum,"Kent, Bretton. 1981. Feeding and food preferences of the muricid gastropod ceratostoma foliatum. Nautilus. 95. 38-42",127,Kent,1981,NA
1981,Crane,Feeding and growth by the sessile larvae of the teleost porichthys notatus,"Crane, Jules M.. 1981. Feeding and growth by the sessile larvae of the teleost porichthys notatus. Copeia. 1981. 4. 895. 10.2307/1444196",364,Crane,1981,NA
1997,Houtman,Feeding and predator-avoidance by the rose anemone urticina piscivora,"Houtman, R.; Paul, L. R.; Ungemach, R. V.; Ydenberg, R. C.. 1997. Feeding and predator-avoidance by the rose anemone urticina piscivora. Marine Biology. 128. 2. 225-229. 10.1007/s002270050086",15,R. Houtman ¬∑ L. R. Paul ¬∑ R. V. Ungemach ¬∑ R. C. Ydenberg,1996,NA
2002,Schwarz,Feeding behavior and acquisition of zooxanthellae by planula larvae of the sea anemone anthopleura elegantissima,"Schwarz, J.; Weis, V.; Potts, D.. 2002. Feeding behavior and acquisition of zooxanthellae by planula larvae of the sea anemone anthopleura elegantissima. Marine Biology. 140. 3. 471-478. 10.1007/s00227-001-0736-y",3,"J. Schwarz, V. Weis & D. Potts",2001,NA
1976,Stenzel,Feeding behavior and diet of the long-billed curlew and willet,"Stenzel, Lynne E.; Huber, Harriet R.; Page, Gary W.. 1976. Feeding behavior and diet of the long-billed curlew and willet. The Wilson Bulletin. 88. 2. 314-332",189,"Lyne E. Stenzel, Harriet R. Huber, Gary W. Page",1976,NA
